iter	RMSE
244	4.097187863
245	4.09599585
246	4.095865914
247	4.095170576
248	4.094678186
249	4.093823966
250	4.093562957
251	4.093507365
252	4.092135635
253	4.092090621
254	4.091927621
255	4.091607951
256	4.091188317
257	4.091141626
258	4.090778084
259	4.090686613
260	4.090321468
261	4.089862851
262	4.089436681
263	4.089123827
264	4.088736468
265	4.08843525
266	4.086977618
267	4.086562171
268	4.086444283
269	4.085893006
270	4.085817952
271	4.0857713
272	4.084134339
273	4.084116744
274	4.083125337
275	4.082738627
276	4.082657123
277	4.082391421
278	4.082299489
279	4.082212509
280	4.082198175
281	4.08184994
282	4.08161825
283	4.081547983
284	4.076816302
285	4.076749025
286	4.07672884
287	4.076715321
288	4.076538531
289	4.070825018
290	4.07046679
291	4.070407339
292	4.070357986
293	4.07027377
294	4.069882447
295	4.069596939
296	4.069478817
297	4.068492357
298	4.067865909
299	4.067611713
300	4.066966637
301	4.066936992
302	4.066585796
303	4.066287684
304	4.066224089
305	4.065880236
306	4.065369805
307	4.065356107
308	4.065341968
309	4.065259029
310	4.065229478
311	4.065032407
312	4.064676109
313	4.064638096
314	4.064552614
315	4.064185835
316	4.064027136
317	4.063894001
318	4.059121194
319	4.058289707
320	4.058131969
321	4.057654669
322	4.057374673
323	4.056856557
324	4.056830441
325	4.056671147
326	4.056376789
327	4.054405115
328	4.054147362
329	4.053968767
330	4.05387661
331	4.053838319
332	4.053684956
333	4.053346398
334	4.053281827
335	4.053253187
336	4.052953542
337	4.05294372
338	4.052904496
339	4.052403559
340	4.052252034
341	4.052030554
342	4.051743963
343	4.051607302
344	4.051522245
345	4.05151535
346	4.049588233
347	4.048718996
348	4.048558125
349	4.048181079
350	4.047757489
351	4.047099921
352	4.047053738
353	4.046605438
354	4.046569792
355	4.046321156
356	4.046129733
357	4.045734908
358	4.0446767
359	4.044085195
360	4.042911377
361	4.042876358
362	4.042540339
363	4.042092181
364	4.041340607
365	4.04085708
366	4.040388482
367	4.040099165
368	4.039310181
369	4.039052247
370	4.037244386
371	4.036738745
372	4.03647509
373	4.035711922
374	4.035110712
375	4.034810478
376	4.034498383
377	4.03440813
378	4.034371932
379	4.032850807
380	4.032698098
381	4.031959977
382	4.031731588
383	4.031620562
384	4.031405034
385	4.03138033
386	4.028711146
387	4.028692625
388	4.028549848
389	4.028234301
390	4.028182985
391	4.027836745
392	4.026117603
393	4.025790401
394	4.025643617
395	4.025119102
396	4.024775374
397	4.023915776
398	4.023856889
399	4.02351557
